city,time,temperature_2m,precipitation,relative_humidity_2m,wind_speed_10m
Goiânia,2025-09-07T00:00,23.7,0.0,35,4.5
Goiânia,2025-09-07T01:00,23.2,0.0,36,4.2
Goiânia,2025-09-07T02:00,22.7,0.0,36,3.8
Goiânia,2025-09-07T03:00,22.0,0.0,38,3.7
Goiânia,2025-09-07T04:00,21.6,0.0,39,3.7
Goiânia,2025-09-07T05:00,21.2,0.0,40,3.7
Goiânia,2025-09-07T06:00,20.7,0.0,41,4.0
Goiânia,2025-09-07T07:00,20.7,0.0,42,3.7
Goiânia,2025-09-07T08:00,23.5,0.0,38,3.6
Goiânia,2025-09-07T09:00,28.0,0.0,28,8.4
Goiânia,2025-09-07T10:00,30.8,0.0,20,16.7
Goiânia,2025-09-07T11:00,32.3,0.0,18,16.3
Goiânia,2025-09-07T12:00,33.2,0.0,17,15.8
Goiânia,2025-09-07T13:00,33.9,0.0,16,15.3
Goiânia,2025-09-07T14:00,34.3,0.0,16,15.5
Goiânia,2025-09-07T15:00,34.6,0.0,15,12.6
Goiânia,2025-09-07T16:00,34.1,0.0,15,13.3
Goiânia,2025-09-07T17:00,33.0,0.0,15,13.3
Goiânia,2025-09-07T18:00,31.1,0.0,16,10.4
Goiânia,2025-09-07T19:00,28.7,0.0,20,7.6
Goiânia,2025-09-07T20:00,26.7,0.0,23,7.2
Goiânia,2025-09-07T21:00,25.9,0.0,24,6.9
Goiânia,2025-09-07T22:00,24.9,0.0,27,7.9
Goiânia,2025-09-07T23:00,24.7,0.0,27,9.1
Goiânia,2025-09-08T00:00,24.2,0.0,27,7.7
Goiânia,2025-09-08T01:00,22.9,0.0,30,4.3
Goiânia,2025-09-08T02:00,22.3,0.0,31,3.6
Goiânia,2025-09-08T03:00,22.0,0.0,30,4.0
Goiânia,2025-09-08T04:00,21.6,0.0,29,4.1
Goiânia,2025-09-08T05:00,21.1,0.0,29,5.0
Goiânia,2025-09-08T06:00,20.5,0.0,28,6.8
Goiânia,2025-09-08T07:00,20.3,0.0,29,6.9
Goiânia,2025-09-08T08:00,23.1,0.0,28,11.2
Goiânia,2025-09-08T09:00,26.6,0.0,25,14.7
Goiânia,2025-09-08T10:00,29.2,0.0,23,17.1
Goiânia,2025-09-08T11:00,31.4,0.0,19,16.6
Goiânia,2025-09-08T12:00,32.9,0.0,17,14.3
Goiânia,2025-09-08T13:00,33.9,0.0,16,10.4
Goiânia,2025-09-08T14:00,34.5,0.0,16,6.9
Goiânia,2025-09-08T15:00,34.4,0.0,16,4.9
Goiânia,2025-09-08T16:00,33.7,0.0,16,4.3
Goiânia,2025-09-08T17:00,32.9,0.0,17,5.0
Goiânia,2025-09-08T18:00,31.4,0.0,19,4.1
Goiânia,2025-09-08T19:00,29.3,0.0,22,4.7
Goiânia,2025-09-08T20:00,27.8,0.0,24,4.7
Goiânia,2025-09-08T21:00,26.9,0.0,25,4.0
Goiânia,2025-09-08T22:00,25.4,0.0,28,4.8
Goiânia,2025-09-08T23:00,24.4,0.0,31,5.0
